Symbol,Name,Exchange,Last,Industry,SIC Description,Time,New 50-200D MACD,20D Avg Vol
AGI,Alamos Gold Inc,NYSE,8.5,Mining - Gold,SIC-1040 Gold and Silver Ores,4/5/2022,Buy,3709775
AVID,Avid Tech Inc,NASDAQ,35.31,Computer - Software,SIC-7372 Services-Prepackaged Software,4/5/2022,Buy,360560
COLI,Colicity Inc Cl A,NASDAQ,9.77,Unclassified,SIC-6770 Blank Checks,4/5/2022,Buy,39620
CTS,Cts Corp,NYSE,35.12,Electronics - Misc Components,SIC-3672 Printed Circuit Boards,4/5/2022,Buy,83875
DAR,Darling International Inc,NYSE,80.08,Food - Misc & Diversified,SIC-2070 Fats & Oils,4/5/2022,Buy,1496130
FTI,Technipfmc Plc,NYSE,7.57,Oil - Field Services,SIC-3533 Oil & Gas Field Machinery & Equipment,4/5/2022,Buy,10024650
HLXA,Helix Acquisition Corp Cl A,NASDAQ,13.25,Unclassified,N/A,4/5/2022,Buy,141395
NFE,New Fortress Energy Llc,NASDAQ,45.11,Oil - International Integrated,SIC-4924 Natural Gas Distribution,4/5/2022,Buy,1685555
NVOS,Novo Integrated Sciences Inc,NASDAQ,2.13,Medical - Outpatient & Hm Care,SIC-3510 Engines & Turbines,4/5/2022,Buy,133525
PERI,Perion Network Ltd,NASDAQ,25.88,Internet - Content,SIC-7371 Services-Computer Programming Services,4/5/2022,Buy,411380
PRVB,Provention Bio Inc,NASDAQ,7.13,Medical - Biomedical,SIC-2834 Pharmaceutical Preparations,4/5/2022,Buy,588705
RMGC,Rmg Acquisition Corp III Cl A,NASDAQ,9.79,Unclassified,SIC-6770 Blank Checks,4/5/2022,Buy,91915
SAIC,Science Applications International,NYSE,90.01,IT Services,SIC-7373 Services-Computer Integrated Systems Design,4/5/2022,Buy,546170
TNK,Teekay Tankers Ltd,NYSE,14.27,Transportation - Ship,SIC-4400 Water Transportation,4/5/2022,Buy,285875
VWTR,Vidler Water Resources Inc,NASDAQ,16.35,Utility - Water Supply,SIC-6500 Real Estate,4/5/2022,Buy,83970
YPF,Ypf Sociedad Anonima ADR,NYSE,5.19,Oil - International Integrated,SIC-2911 Petroleum Refining,4/5/2022,Buy,2411800
ZIVO,Zivo Bioscience,NASDAQ,4,Medical - Biomedical,SIC-2000 Food and Kindred Products,4/5/2022,Buy,17355
